School Year,Division Number,Division Name,Subject,Test Level,Test Source,Test,Pass Advanced Count,Pass Proficient Count,Fail Count,Pass Count,Total Count,Pass Advanced Rate,Pass Proficient Rate,Fail Rate,Pass Rate,Average SOL Scaled Score
2006-2007,101,Alexandria City,Mathematics,Grade 3,SOL,Mathematics,352,354,121,706,827,42.56,42.81,14.63,85.37,482
2006-2007,3,Alleghany County,Mathematics,Grade 3,SOL,Mathematics,83,121,23,204,227,36.56,53.3,10.13,89.87,480
2006-2007,4,Amelia County,Mathematics,Grade 3,SOL,Mathematics,62,47,10,109,119,52.1,39.5,8.4,91.6,500
2006-2007,5,Amherst County,Mathematics,Grade 3,SOL,Mathematics,135,158,32,293,325,41.54,48.62,9.85,90.15,488
2006-2007,6,Appomattox County,Mathematics,Grade 3,SOL,Mathematics,82,58,5,140,145,56.55,40,3.45,96.55,509
2006-2007,7,Arlington County,Mathematics,Grade 3,SOL,Mathematics,717,447,127,"1,164","1,291",55.54,34.62,9.84,90.16,507
2006-2007,8,Augusta County,Mathematics,Grade 3,SOL,Mathematics,365,324,100,689,789,46.26,41.06,12.67,87.33,485
2006-2007,9,Bath County,Mathematics,Grade 3,SOL,Mathematics,28,23,2,51,53,52.83,43.4,3.77,96.23,500
2006-2007,10,Bedford County,Mathematics,Grade 3,SOL,Mathematics,387,338,94,725,819,47.25,41.27,11.48,88.52,486
2006-2007,11,Bland County,Mathematics,Grade 3,SOL,Mathematics,24,32,13,56,69,34.78,46.38,18.84,81.16,463
2006-2007,12,Botetourt County,Mathematics,Grade 3,SOL,Mathematics,210,156,25,366,391,53.71,39.9,6.39,93.61,503
2006-2007,102,Bristol City,Mathematics,Grade 3,SOL,Mathematics,63,81,19,144,163,38.65,49.69,11.66,88.34,473
2006-2007,13,Brunswick County,Mathematics,Grade 3,SOL,Mathematics,54,84,19,138,157,34.39,53.5,12.1,87.9,466
2006-2007,14,Buchanan County,Mathematics,Grade 3,SOL,Mathematics,81,102,28,183,211,38.39,48.34,13.27,86.73,476
2006-2007,15,Buckingham County,Mathematics,Grade 3,SOL,Mathematics,57,61,21,118,139,41.01,43.88,15.11,84.89,479
2006-2007,103,Buena Vista City,Mathematics,Grade 3,SOL,Mathematics,28,47,6,75,81,34.57,58.02,7.41,92.59,472
2006-2007,16,Campbell County,Mathematics,Grade 3,SOL,Mathematics,266,252,70,518,588,45.24,42.86,11.9,88.1,486
2006-2007,17,Caroline County,Mathematics,Grade 3,SOL,Mathematics,114,114,44,228,272,41.91,41.91,16.18,83.82,481
2006-2007,18,Carroll County,Mathematics,Grade 3,SOL,Mathematics,143,124,21,267,288,49.65,43.06,7.29,92.71,494
2006-2007,19,Charles City County,Mathematics,Grade 3,SOL,Mathematics,20,38,14,58,72,27.78,52.78,19.44,80.56,458
2006-2007,20,Charlotte County,Mathematics,Grade 3,SOL,Mathematics,61,64,7,125,132,46.21,48.48,5.3,94.7,496
2006-2007,104,Charlottesville City,Mathematics,Grade 3,SOL,Mathematics,131,112,29,243,272,48.16,41.18,10.66,89.34,498
