"School Year","Division Number","Division Name","Subject","Test Level","Test Source","Test","Pass Advanced Count","Pass Proficient Count","Fail Count","Pass Count","Total Count","Pass Advanced Rate","Pass Proficient Rate","Fail Rate","Pass Rate","Average SOL Scaled Score"
"2009-2010","91","Sussex County","English:Reading","Grade 3","SOL","English Reading","12","33","26","45","71","16.90","46.48","36.62","63.38","426"
"2009-2010","92","Tazewell County","English:Reading","Grade 3","SOL","English Reading","192","182","72","374","446","43.05","40.81","16.14","83.86","481"
"2009-2010","128","Virginia Beach City","English:Reading","Grade 3","SOL","English Reading","2,182","2,204","720","4,386","5,106","42.73","43.16","14.10","85.90","481"
"2009-2010","93","Warren County","English:Reading","Grade 3","SOL","English Reading","144","154","66","298","364","39.56","42.31","18.13","81.87","474"
"2009-2010","94","Washington County","English:Reading","Grade 3","SOL","English Reading","249","232","63","481","544","45.77","42.65","11.58","88.42","489"
"2009-2010","130","Waynesboro City","English:Reading","Grade 3","SOL","English Reading","73","121","40","194","234","31.20","51.71","17.09","82.91","460"
"2009-2010","207","West Point","English:Reading","Grade 3","SOL","English Reading","28","25","5","53","58","48.28","43.10","8.62","91.38","495"
"2009-2010","95","Westmoreland County","English:Reading","Grade 3","SOL","English Reading","44","50","27","94","121","36.36","41.32","22.31","77.69","465"
"2009-2010","131","Williamsburg-James City County","English:Reading","Grade 3","SOL","English Reading","356","321","97","677","774","45.99","41.47","12.53","87.47","491"
"2009-2010","132","Winchester City","English:Reading","Grade 3","SOL","English Reading","115","108","38","223","261","44.06","41.38","14.56","85.44","484"
"2009-2010","96","Wise County","English:Reading","Grade 3","SOL","English Reading","161","294","52","455","507","31.76","57.99","10.26","89.74","479"
"2009-2010","97","Wythe County","English:Reading","Grade 3","SOL","English Reading","168","123","55","291","346","48.55","35.55","15.90","84.10","488"
"2009-2010","98","York County","English:Reading","Grade 3","SOL","English Reading","388","358","96","746","842","46.08","42.52","11.40","88.60","488"
"2010-2011","1","Accomack County","English:Reading","Grade 3","SOL","English Reading","128","161","54","289","343","37.32","46.94","15.74","84.26","469"
"2010-2011","2","Albemarle County","English:Reading","Grade 3","SOL","English Reading","462","373","132","835","967","47.78","38.57","13.65","86.35","487"
"2010-2011","101","Alexandria City","English:Reading","Grade 3","SOL","English Reading","362","364","248","726","974","37.17","37.37","25.46","74.54","459"
"2010-2011","3","Alleghany County","English:Reading","Grade 3","SOL","English Reading","51","79","36","130","166","30.72","47.59","21.69","78.31","465"
"2010-2011","4","Amelia County","English:Reading","Grade 3","SOL","English Reading","41","69","32","110","142","28.87","48.59","22.54","77.46","458"
"2010-2011","5","Amherst County","English:Reading","Grade 3","SOL","English Reading","100","136","76","236","312","32.05","43.59","24.36","75.64","459"
"2010-2011","6","Appomattox County","English:Reading","Grade 3","SOL","English Reading","47","84","32","131","163","28.83","51.53","19.63","80.37","461"
"2010-2011","7","Arlington County","English:Reading","Grade 3","SOL","English Reading","762","576","187","1,338","1,525","49.97","37.77","12.26","87.74","491"
"2010-2011","8","Augusta County","English:Reading","Grade 3","SOL","English Reading","261","369","115","630","745","35.03","49.53","15.44","84.56","468"
"2010-2011","9","Bath County","English:Reading","Grade 3","SOL","English Reading","9","17","10","26","36","25.00","47.22","27.78","72.22","450"
"2010-2011","10","Bedford County","English:Reading","Grade 3","SOL","English Reading","274","322","129","596","725","37.79","44.41","17.79","82.21","467"
"2010-2011","11","Bland County","English:Reading","Grade 3","SOL","English Reading","23","22","13","45","58","39.66","37.93","22.41","77.59","467"
"2010-2011","12","Botetourt County","English:Reading","Grade 3","SOL","English Reading","176","161","38","337","375","46.93","42.93","10.13","89.87","484"
"2010-2011","102","Bristol City","English:Reading","Grade 3","SOL","English Reading","66","79","32","145","177","37.29","44.63","18.08","81.92","475"
"2010-2011","13","Brunswick County","English:Reading","Grade 3","SOL","English Reading","35","70","42","105","147","23.81","47.62","28.57","71.43","444"
"2010-2011","14","Buchanan County","English:Reading","Grade 3","SOL","English Reading","74","113","38","187","225","32.89","50.22","16.89","83.11","464"
"2010-2011","15","Buckingham County","English:Reading","Grade 3","SOL","English Reading","37","86","26","123","149","24.83","57.72","17.45","82.55","455"
"2010-2011","103","Buena Vista City","English:Reading","Grade 3","SOL","English Reading","17","34","14","51","65","26.15","52.31","21.54","78.46","444"
"2010-2011","16","Campbell County","English:Reading","Grade 3","SOL","English Reading","197","261","94","458","552","35.69","47.28","17.03","82.97","469"
"2010-2011","17","Caroline County","English:Reading","Grade 3","SOL","English Reading","123","131","53","254","307","40.07","42.67","17.26","82.74","472"
"2010-2011","18","Carroll County","English:Reading","Grade 3","SOL","English Reading","122","147","54","269","323","37.77","45.51","16.72","83.28","471"
"2010-2011","19","Charles City County","English:Reading","Grade 3","SOL","English Reading","28","30","9","58","67","41.79","44.78","13.43","86.57","478"
"2010-2011","20","Charlotte County","English:Reading","Grade 3","SOL","English Reading","50","40","12","90","102","49.02","39.22","11.76","88.24","495"
"2010-2011","104","Charlottesville City","English:Reading","Grade 3","SOL","English Reading","121","144","37","265","302","40.07","47.68","12.25","87.75","479"
"2010-2011","136","Chesapeake City","English:Reading","Grade 3","SOL","English Reading","1,058","1,246","354","2,304","2,658","39.80","46.88","13.32","86.68","475"
"2010-2011","21","Chesterfield County","English:Reading","Grade 3","SOL","English Reading","1,841","1,694","538","3,535","4,073","45.20","41.59","13.21","86.79","485"
"2010-2011","22","Clarke County","English:Reading","Grade 3","SOL","English Reading","68","45","19","113","132","51.52","34.09","14.39","85.61","494"
"2010-2011","202","Colonial Beach","English:Reading","Grade 3","SOL","English Reading","15","17","2","32","34","44.12","50.00","5.88","94.12","487"
"2010-2011","106","Colonial Heights City","English:Reading","Grade 3","SOL","English Reading","73","96","42","169","211","34.60","45.50","19.91","80.09","467"
