"School Year","Division Number","Division Name","Subject","Race","Gender","Test Level","Test Source","Test","Pass Advanced Count","Pass Proficient Count","Fail Count","Pass Count","Total Count","Pass Advanced Rate","Pass Proficient Rate","Fail Rate","Pass Rate","Average SOL Scaled Score"
"2021-2022","1","Accomack County","English:Reading","White, not of Hispanic origin","F","Grade 3","SOL","English Reading","4","36","19","40","59","6.78","61.02","32.20","67.80","404"
"2021-2022","1","Accomack County","English:Reading","White, not of Hispanic origin","F","Grade 4","SOL","English Reading","7","38","24","45","69","10.14","55.07","34.78","65.22","406"
"2021-2022","1","Accomack County","English:Reading","White, not of Hispanic origin","F","Grade 5","SOL","English Reading","4","40","14","44","58","6.90","68.97","24.14","75.86","424"
"2021-2022","1","Accomack County","English:Reading","White, not of Hispanic origin","F","Grade 6","SOL","English Reading","9","41","9","50","59","15.25","69.49","15.25","84.75","448"
"2021-2022","1","Accomack County","English:Reading","White, not of Hispanic origin","F","Grade 7","SOL","English Reading","7","48","7","55","62","11.29","77.42","11.29","88.71","435"
"2021-2022","1","Accomack County","English:Reading","White, not of Hispanic origin","F","Grade 8","SOL","English Reading","8","54","8","62","70","11.43","77.14","11.43","88.57","450"
"2021-2022","1","Accomack County","English:Reading","White, not of Hispanic origin","M","Grade 3","SOL","English Reading","7","29","20","36","56","12.50","51.79","35.71","64.29","410"
"2021-2022","1","Accomack County","English:Reading","White, not of Hispanic origin","M","Grade 4","SOL","English Reading","7","28","18","35","53","13.21","52.83","33.96","66.04","420"
"2021-2022","1","Accomack County","English:Reading","White, not of Hispanic origin","M","Grade 5","SOL","English Reading","5","46","22","51","73","6.85","63.01","30.14","69.86","420"
"2021-2022","1","Accomack County","English:Reading","White, not of Hispanic origin","M","Grade 6","SOL","English Reading","5","35","14","40","54","9.26","64.81","25.93","74.07","410"
"2021-2022","1","Accomack County","English:Reading","White, not of Hispanic origin","M","Grade 7","SOL","English Reading","3","40","16","43","59","5.08","67.80","27.12","72.88","413"
"2021-2022","1","Accomack County","English:Reading","White, not of Hispanic origin","M","Grade 8","SOL","English Reading","5","51","16","56","72","6.94","70.83","22.22","77.78","432"
