test_year,division_name,level,rate,demographic
2006,Surry County,black,0.6198784694599786,Race
2006,Sussex County,black,0.4062505025081593,Race
2006,Tazewell County,black,0.6932560893184704,Race
2006,Virginia Beach City,black,0.6135189174475704,Race
2006,Warren County,black,0.6117948492280147,Race
2006,Washington County,black,0.5286950589620787,Race
2006,Waynesboro City,black,0.6275983673052287,Race
2006,West Point,black,0.6219636974072453,Race
2006,Westmoreland County,black,0.4686788937663373,Race
2006,Williamsburg-James City County,black,0.4455855883923068,Race
2006,Winchester City,black,0.5539188887944172,Race
2006,Wise County,black,0.5553654967374648,Race
2006,Wythe County,black,0.620468491326302,Race
2006,York County,black,0.5999000136590936,Race
2007,Accomack County,black,0.6702475979452809,Race
2007,Albemarle County,black,0.5756541843368648,Race
2007,Alexandria City,black,0.5792081099443531,Race
2007,Alleghany County,black,0.6734860488293367,Race
2007,Amelia County,black,0.545488787296068,Race
2007,Amherst County,black,0.5456372177205794,Race
2007,Appomattox County,black,0.7136613900672866,Race
2007,Arlington County,black,0.5913721875245403,Race
2007,Augusta County,black,0.61340776558854615,Race
2007,Bath County,black,0.6113648835790942,Race
2007,Bedford County,black,0.5942003705957509,Race
2007,Bland County,black,0.5767334196089159,Race
2007,Botetourt County,black,0.708837844218631,Race
2007,Bristol City,black,0.6878468718997736,Race
2007,Brunswick County,black,0.6235497299782458,Race
2007,Buchanan County,black,0.5881639172167954,Race
2007,Buckingham County,black,0.5875142441176233,Race
2007,Buena Vista City,black,0.601463459001901,Race
2007,Campbell County,black,0.5861527598831481,Race
2007,Caroline County,black,0.5498572571946718,Race
2007,Carroll County,black,0.5771891395577535,Race
2007,Charles City County,black,0.5450695649556465,Race
2007,Charlotte County,black,0.713570035653232,Race
2007,Charlottesville City,black,0.5844684635139524,Race
2007,Chesapeake City,black,0.7223372777234301,Race
2007,Chesterfield County,black,0.6961189459536795,Race
2007,Clarke County,black,0.6565972651842676,Race
2007,Colonial Beach,black,0.5864806472110813,Race
2007,Colonial Heights City,black,0.6201587000585246,Race
2007,Covington City,black,0.6032420739432616,Race
2007,Craig County,black,0.5284746400338117,Race
2007,Culpeper County,black,0.5477764665420756,Race
2007,Cumberland County,black,0.6793164464523105,Race
2007,Danville City,black,0.5963984352053369,Race
2007,Dickenson County,black,0.5858024051378854,Race
2007,Dinwiddie County,black,0.7011301783518041,Race
2007,Essex County,black,0.6041928621598013,Race
2007,Fairfax County,black,0.6087215572657038,Race
2007,Falls Church City,black,0.6763257898416535,Race
2007,Fauquier County,black,0.5152196255549776,Race
2007,Floyd County,black,0.6273662281503891,Race
2007,Fluvanna County,black,0.63124267767213,Race
2007,Franklin City,black,0.6197050008187611,Race
2007,Franklin County,black,0.6994013852420498,Race
2007,Frederick County,black,0.5771369841124213,Race
2007,Fredericksburg City,black,0.5854131511712936,Race
2007,Galax City,black,0.6118419364627286,Race
2007,Giles County,black,0.5656943894111482,Race
2007,Gloucester County,black,0.6139975274087601,Race
2007,Goochland County,black,0.7894525962735385,Race
2007,Grayson County,black,0.5356879355895434,Race
2007,Greene County,black,0.6075886177443709,Race
2007,Greensville County,black,0.6375166357690475,Race
2007,Halifax County,black,0.5940059289004814,Race
2007,Hampton City,black,0.6101470958654495,Race
2007,Hanover County,black,0.6193220910895533,Race
2007,Harrisonburg City,black,0.6109334358317691,Race
2007,Henrico County,black,0.6201229369395137,Race
2007,Henry County,black,0.6428896205399119,Race
2007,Highland County,black,0.5903579028513496,Race
2007,Hopewell City,black,0.6312505590003624,Race
2007,Isle of Wight County,black,0.6493271616083326,Race
2007,King and Queen County,black,0.6746577236888477,Race
2007,King George County,black,0.5670286373838473,Race
2007,King William County,black,0.5476444105995194,Race
2007,Lancaster County,black,0.6259531610669615,Race
2007,Lee County,black,0.6041040289142867,Race
2007,Lexington City,black,0.6724196917084613,Race
2007,Loudoun County,black,0.6236076304533764,Race
2007,Louisa County,black,0.56345908450746085,Race
2007,Lunenburg County,black,0.6267568508951651,Race
2007,Lynchburg City,black,0.5627837602305121,Race
2007,Madison County,black,0.6080859319604154,Race
2007,Manassas City,black,0.5547647872970813,Race
2007,Manassas Park City,black,0.7032690040913478,Race
2007,Martinsville City,black,0.6178445161945755,Race
2007,Mathews County,black,0.5752661448067503,Race
2007,Mecklenburg County,black,0.7886435596798919,Race
2007,Middlesex County,black,0.6077726898354605,Race
2007,Montgomery County,black,0.5214109983817347,Race
2007,Nelson County,black,0.6667855062142561,Race
2007,New Kent County,black,0.5665069305823475,Race
