"School Year","Division Number","Division Name","Subject","English Learner","Test Level","Test Source","Test","Pass Advanced Count","Pass Proficient Count","Fail Count","Pass Count","Total Count","Pass Advanced Rate","Pass Proficient Rate","Fail Rate","Pass Rate","Average SOL Scaled Score"
"2005-2006","3","Alleghany County","English:Reading","N","Grade 6","SOL","English Reading","99","82","18","181","199","49.75","41.21","9.05","90.95","497"
"2005-2006","3","Alleghany County","English:Reading","N","Grade 7","SOL","English Reading","71","100","17","171","188","37.77","53.19","9.04","90.96","490"
"2005-2006","3","Alleghany County","English:Reading","N","Grade 8","SOL","English Reading","67","109","19","176","195","34.36","55.90","9.74","90.26","474"
"2005-2006","3","Alleghany County","English:Reading","Y","Grade 5","SOL","English Reading","<","<","<","<","<","<","<","<50",">50",""
"2005-2006","3","Alleghany County","English:Reading","Y","Grade 7","SOL","English Reading","<","<","<","<","<","<","<","<50",">50",""
"2005-2006","4","Amelia County","English:Reading","N","Grade 3","SOL","English Reading","39","69","16","108","124","31.45","55.65","12.90","87.10","468"
"2005-2006","4","Amelia County","English:Reading","N","Grade 4","SOL","English Reading","35","52","17","87","104","33.65","50.00","16.35","83.65","471"
"2005-2006","4","Amelia County","English:Reading","N","Grade 5","SOL","English Reading","38","56","7","94","101","37.62","55.45","6.93","93.07","479"
"2005-2006","4","Amelia County","English:Reading","N","Grade 6","SOL","English Reading","43","61","34","104","138","31.16","44.20","24.64","75.36","451"
"2005-2006","4","Amelia County","English:Reading","N","Grade 7","SOL","English Reading","27","52","24","79","103","26.21","50.49","23.30","76.70","453"
"2005-2006","4","Amelia County","English:Reading","N","Grade 8","SOL","English Reading","20","62","25","82","107","18.69","57.94","23.36","76.64","440"
"2005-2006","4","Amelia County","English:Reading","Y","Grade 3","SOL","English Reading","<","<","<","<","<","<","<","<50",">50",""
"2005-2006","4","Amelia County","English:Reading","Y","Grade 5","SOL","English Reading","<","<","<","<","<","<","<","<50",">50",""
"2005-2006","4","Amelia County","English:Reading","Y","Grade 8","SOL","English Reading","<","<","<","<","<","<","<",">50","<50",""
"2005-2006","5","Amherst County","English:Reading","N","Grade 3","SOL","English Reading","145","133","45","278","323","44.89","41.18","13.93","86.07","475"
"2005-2006","5","Amherst County","English:Reading","N","Grade 4","SOL","English Reading","140","133","50","273","323","43.34","41.18","15.48","84.52","472"
"2005-2006","5","Amherst County","English:Reading","N","Grade 5","SOL","English Reading","194","131","34","325","359","54.04","36.49","9.47","90.53","493"
"2005-2006","5","Amherst County","English:Reading","N","Grade 6","SOL","English Reading","112","175","63","287","350","32.00","50.00","18.00","82.00","461"
"2005-2006","5","Amherst County","English:Reading","N","Grade 7","SOL","English Reading","136","173","65","309","374","36.36","46.26","17.38","82.62","468"
"2005-2006","5","Amherst County","English:Reading","N","Grade 8","SOL","English Reading","82","182","87","264","351","23.36","51.85","24.79","75.21","445"
"2005-2006","5","Amherst County","English:Reading","Y","Grade 5","SOL","English Reading","<","<","<","<","<","<","<","<50",">50",""
"2005-2006","6","Appomattox County","English:Reading","N","Grade 3","SOL","English Reading","87","72","10","159","169","51.48","42.60","5.92","94.08","492"
"2005-2006","6","Appomattox County","English:Reading","N","Grade 4","SOL","English Reading","93","69","5","162","167","55.69","41.32","2.99","97.01","503"
"2005-2006","6","Appomattox County","English:Reading","N","Grade 5","SOL","English Reading","68","63","13","131","144","47.22","43.75","9.03","90.97","484"
"2005-2006","6","Appomattox County","English:Reading","N","Grade 6","SOL","English Reading","45","77","42","122","164","27.44","46.95","25.61","74.39","451"
"2005-2006","6","Appomattox County","English:Reading","N","Grade 7","SOL","English Reading","45","91","53","136","189","23.81","48.15","28.04","71.96","445"
"2005-2006","6","Appomattox County","English:Reading","N","Grade 8","SOL","English Reading","20","81","52","101","153","13.07","52.94","33.99","66.01","428"
"2005-2006","6","Appomattox County","English:Reading","Y","Grade 3","SOL","English Reading","<","<","<","<","<","<","<","<50",">50",""
"2005-2006","7","Arlington County","English:Reading","N","Grade 3","SOL","English Reading","487","317","71","804","875","55.66","36.23","8.11","91.89","500"
"2005-2006","7","Arlington County","English:Reading","N","Grade 4","SOL","English Reading","521","260","63","781","844","61.73","30.81","7.46","92.54","507"
"2005-2006","7","Arlington County","English:Reading","N","Grade 5","SOL","English Reading","495","233","43","728","771","64.20","30.22","5.58","94.42","514"
"2005-2006","7","Arlington County","English:Reading","N","Grade 6","SOL","English Reading","534","283","70","817","887","60.20","31.91","7.89","92.11","506"
"2005-2006","7","Arlington County","English:Reading","N","Grade 7","SOL","English Reading","474","310","92","784","876","54.11","35.39","10.50","89.50","495"
"2005-2006","7","Arlington County","English:Reading","N","Grade 8","SOL","English Reading","312","459","110","771","881","35.41","52.10","12.49","87.51","475"
"2005-2006","7","Arlington County","English:Reading","Y","Grade 3","SOL","English Reading","68","183","78","251","329","20.67","55.62","23.71","76.29","442"
"2005-2006","7","Arlington County","English:Reading","Y","Grade 4","SOL","English Reading","92","196","61","288","349","26.36","56.16","17.48","82.52","452"
"2005-2006","7","Arlington County","English:Reading","Y","Grade 5","SOL","English Reading","102","215","77","317","394","25.89","54.57","19.54","80.46","454"
"2005-2006","7","Arlington County","English:Reading","Y","Grade 6","SOL","English Reading","60","185","86","245","331","18.13","55.89","25.98","74.02","438"
"2005-2006","7","Arlington County","English:Reading","Y","Grade 7","SOL","English Reading","27","144","107","171","278","9.71","51.80","38.49","61.51","418"
"2005-2006","7","Arlington County","English:Reading","Y","Grade 8","SOL","English Reading","11","109","148","120","268","4.10","40.67","55.22","44.78","394"
"2005-2006","8","Augusta County","English:Reading","N","Grade 3","SOL","English Reading","301","323","104","624","728","41.35","44.37","14.29","85.71","475"
"2005-2006","8","Augusta County","English:Reading","N","Grade 4","SOL","English Reading","297","360","97","657","754","39.39","47.75","12.86","87.14","473"
"2005-2006","8","Augusta County","English:Reading","N","Grade 5","SOL","English Reading","263","427","126","690","816","32.23","52.33","15.44","84.56","476"
"2005-2006","8","Augusta County","English:Reading","N","Grade 6","SOL","English Reading","224","433","137","657","794","28.21","54.53","17.25","82.75","469"
"2005-2006","8","Augusta County","English:Reading","N","Grade 7","SOL","English Reading","269","399","155","668","823","32.69","48.48","18.83","81.17","467"
"2005-2006","8","Augusta County","English:Reading","N","Grade 8","SOL","English Reading","196","432","203","628","831","23.59","51.99","24.43","75.57","449"
"2005-2006","8","Augusta County","English:Reading","Y","Grade 3","SOL","English Reading","7","9","2","16","18","38.89","50.00","11.11","88.89","466"
"2005-2006","8","Augusta County","English:Reading","Y","Grade 4","SOL","English Reading","2","10","5","12","17","11.76","58.82","29.41","70.59","435"
"2005-2006","8","Augusta County","English:Reading","Y","Grade 5","SOL","English Reading","2","14","4","16","20","10.00","70.00","20.00","80.00","445"
"2005-2006","8","Augusta County","English:Reading","Y","Grade 6","SOL","English Reading","4","10","5","14","19","21.05","52.63","26.32","73.68","454"
"2005-2006","8","Augusta County","English:Reading","Y","Grade 7","SOL","English Reading","<","<","<","<","<","<","<",">50","<50","387"
"2005-2006","8","Augusta County","English:Reading","Y","Grade 8","SOL","English Reading","<","<","<","<","<","<","<",">50","<50","375"
"2005-2006","9","Bath County","English:Reading","N","Grade 3","SOL","English Reading","13","21","4","34","38","34.21","55.26","10.53","89.47","472"
"2005-2006","9","Bath County","English:Reading","N","Grade 4","SOL","English Reading","24","28","7","52","59","40.68","47.46","11.86","88.14","472"
"2005-2006","9","Bath County","English:Reading","N","Grade 5","SOL","English Reading","20","27","10","47","57","35.09","47.37","17.54","82.46","462"
"2005-2006","9","Bath County","English:Reading","N","Grade 6","SOL","English Reading","34","29","4","63","67","50.75","43.28","5.97","94.03","493"
"2005-2006","9","Bath County","English:Reading","N","Grade 7","SOL","English Reading","13","35","10","48","58","22.41","60.34","17.24","82.76","465"
"2005-2006","9","Bath County","English:Reading","N","Grade 8","SOL","English Reading","15","48","17","63","80","18.75","60.00","21.25","78.75","445"
"2005-2006","9","Bath County","English:Reading","Y","Grade 3","SOL","English Reading","<","<","<","<","<","<","<","<50",">50",""
"2005-2006","10","Bedford County","English:Reading","N","Grade 3","SOL","English Reading","277","379","149","656","805","34.41","47.08","18.51","81.49","463"
"2005-2006","10","Bedford County","English:Reading","N","Grade 4","SOL","English Reading","283","405","115","688","803","35.24","50.44","14.32","85.68","470"
"2005-2006","10","Bedford County","English:Reading","N","Grade 5","SOL","English Reading","327","352","108","679","787","41.55","44.73","13.72","86.28","481"
"2005-2006","10","Bedford County","English:Reading","N","Grade 6","SOL","English Reading","274","383","143","657","800","34.25","47.88","17.88","82.13","468"
"2005-2006","10","Bedford County","English:Reading","N","Grade 7","SOL","English Reading","292","368","197","660","857","34.07","42.94","22.99","77.01","458"
"2005-2006","10","Bedford County","English:Reading","N","Grade 8","SOL","English Reading","277","445","115","722","837","33.09","53.17","13.74","86.26","465"
"2005-2006","10","Bedford County","English:Reading","Y","Grade 3","SOL","English Reading","<","<","<","<","<","<","<","<50",">50",""
"2005-2006","10","Bedford County","English:Reading","Y","Grade 4","SOL","English Reading","<","<","<","<","<","<","<","<50",">50",""
"2005-2006","10","Bedford County","English:Reading","Y","Grade 5","SOL","English Reading","<","<","<","<","<","<","<","<50",">50","435"
"2005-2006","10","Bedford County","English:Reading","Y","Grade 6","SOL","English Reading","<","<","<","<","<","<","<",">50","<50",""
"2005-2006","10","Bedford County","English:Reading","Y","Grade 7","SOL","English Reading","<","<","<","<","<","<","<","<50",">50",""
"2005-2006","10","Bedford County","English:Reading","Y","Grade 8","SOL","English Reading","<","<","<","<","<","<","<","<50",">50",""
"2005-2006","11","Bland County","English:Reading","N","Grade 3","SOL","English Reading","20","37","8","57","65","30.77","56.92","12.31","87.69","463"
"2005-2006","11","Bland County","English:Reading","N","Grade 4","SOL","English Reading","24","31","13","55","68","35.29","45.59","19.12","80.88","454"
"2005-2006","11","Bland County","English:Reading","N","Grade 5","SOL","English Reading","22","32","13","54","67","32.84","47.76","19.40","80.60","462"
"2005-2006","11","Bland County","English:Reading","N","Grade 6","SOL","English Reading","22","35","5","57","62","35.48","56.45","8.06","91.94","472"
"2005-2006","11","Bland County","English:Reading","N","Grade 7","SOL","English Reading","21","31","13","52","65","32.31","47.69","20.00","80.00","464"
"2005-2006","11","Bland County","English:Reading","N","Grade 8","SOL","English Reading","12","18","10","30","40","30.00","45.00","25.00","75.00","451"
"2005-2006","12","Botetourt County","English:Reading","N","Grade 3","SOL","English Reading","144","154","27","298","325","44.31","47.38","8.31","91.69","485"
"2005-2006","12","Botetourt County","English:Reading","N","Grade 4","SOL","English Reading","185","165","25","350","375","49.33","44.00","6.67","93.33","489"
"2005-2006","12","Botetourt County","English:Reading","N","Grade 5","SOL","English Reading","221","113","14","334","348","63.51","32.47","4.02","95.98","512"
"2005-2006","12","Botetourt County","English:Reading","N","Grade 6","SOL","English Reading","172","153","39","325","364","47.25","42.03","10.71","89.29","487"
"2005-2006","12","Botetourt County","English:Reading","N","Grade 7","SOL","English Reading","203","126","31","329","360","56.39","35.00","8.61","91.39","499"
"2005-2006","12","Botetourt County","English:Reading","N","Grade 8","SOL","English Reading","110","213","69","323","392","28.06","54.34","17.60","82.40","455"
"2005-2006","12","Botetourt County","English:Reading","Y","Grade 3","SOL","English Reading","<","<","<","<","<","<","<","<50",">50",""
"2005-2006","12","Botetourt County","English:Reading","Y","Grade 4","SOL","English Reading","<","<","<","<","<","<","<","<50",">50",""
"2005-2006","12","Botetourt County","English:Reading","Y","Grade 5","SOL","English Reading","<","<","<","<","<","<","<","<50",">50",""
"2005-2006","12","Botetourt County","English:Reading","Y","Grade 6","SOL","English Reading","<","<","<","<","<","<","<",">50","<50",""
"2005-2006","12","Botetourt County","English:Reading","Y","Grade 8","SOL","English Reading","<","<","<","<","<","<","<","<50",">50",""
"2005-2006","102","Bristol City","English:Reading","N","Grade 3","SOL","English Reading","57","63","29","120","149","38.26","42.28","19.46","80.54","464"
"2005-2006","102","Bristol City","English:Reading","N","Grade 4","SOL","English Reading","48","86","28","134","162","29.63","53.09","17.28","82.72","456"
"2005-2006","102","Bristol City","English:Reading","N","Grade 5","SOL","English Reading","86","62","19","148","167","51.50","37.13","11.38","88.62","493"
"2005-2006","102","Bristol City","English:Reading","N","Grade 6","SOL","English Reading","54","93","44","147","191","28.27","48.69","23.04","76.96","460"
"2005-2006","102","Bristol City","English:Reading","N","Grade 7","SOL","English Reading","46","74","31","120","151","30.46","49.01","20.53","79.47","451"
"2005-2006","102","Bristol City","English:Reading","N","Grade 8","SOL","English Reading","47","86","49","133","182","25.82","47.25","26.92","73.08","442"
"2005-2006","102","Bristol City","English:Reading","Y","Grade 3","SOL","English Reading","<","<","<","<","<","<","<",">50","<50",""
"2005-2006","102","Bristol City","English:Reading","Y","Grade 4","SOL","English Reading","<","<","<","<","<","<","<","<50",">50",""
"2005-2006","102","Bristol City","English:Reading","Y","Grade 6","SOL","English Reading","<","<","<","<","<","<","<",">50","<50",""
"2005-2006","13","Brunswick County","English:Reading","N","Grade 3","SOL","English Reading","36","81","48","117","165","21.82","49.09","29.09","70.91","435"
"2005-2006","13","Brunswick County","English:Reading","N","Grade 4","SOL","English Reading","40","93","49","133","182","21.98","51.10","26.92","73.08","439"
"2005-2006","13","Brunswick County","English:Reading","N","Grade 5","SOL","English Reading","45","79","28","124","152","29.61","51.97","18.42","81.58","453"
"2005-2006","13","Brunswick County","English:Reading","N","Grade 6","SOL","English Reading","31","86","42","117","159","19.50","54.09","26.42","73.58","443"
"2005-2006","13","Brunswick County","English:Reading","N","Grade 7","SOL","English Reading","31","88","46","119","165","18.79","53.33","27.88","72.12","437"
"2005-2006","13","Brunswick County","English:Reading","N","Grade 8","SOL","English Reading","21","94","47","115","162","12.96","58.02","29.01","70.99","428"
"2005-2006","13","Brunswick County","English:Reading","Y","Grade 3","SOL","English Reading","<","<","<","<","<","<","<",">50","<50",""
"2005-2006","13","Brunswick County","English:Reading","Y","Grade 5","SOL","English Reading","<","<","<","<","<","<","<","<50",">50",""
"2005-2006","13","Brunswick County","English:Reading","Y","Grade 8","SOL","English Reading","<","<","<","<","<","<","<","<50",">50",""
"2005-2006","14","Buchanan County","English:Reading","N","Grade 3","SOL","English Reading","83","101","55","184","239","34.73","42.26","23.01","76.99","457"
"2005-2006","14","Buchanan County","English:Reading","N","Grade 4","SOL","English Reading","54","109","64","163","227","23.79","48.02","28.19","71.81","439"
"2005-2006","14","Buchanan County","English:Reading","N","Grade 5","SOL","English Reading","84","111","49","195","244","34.43","45.49","20.08","79.92","461"
"2005-2006","14","Buchanan County","English:Reading","N","Grade 6","SOL","English Reading","54","123","45","177","222","24.32","55.41","20.27","79.73","447"
"2005-2006","14","Buchanan County","English:Reading","N","Grade 7","SOL","English Reading","74","126","49","200","249","29.72","50.60","19.68","80.32","455"
"2005-2006","14","Buchanan County","English:Reading","N","Grade 8","SOL","English Reading","68","135","57","203","260","26.15","51.92","21.92","78.08","449"
"2005-2006","15","Buckingham County","English:Reading","N","Grade 3","SOL","English Reading","43","70","23","113","136","31.62","51.47","16.91","83.09","456"
"2005-2006","15","Buckingham County","English:Reading","N","Grade 4","SOL","English Reading","53","59","14","112","126","42.06","46.83","11.11","88.89","474"
"2005-2006","15","Buckingham County","English:Reading","N","Grade 5","SOL","English Reading","61","71","21","132","153","39.87","46.41","13.73","86.27","471"
"2005-2006","15","Buckingham County","English:Reading","N","Grade 6","SOL","English Reading","32","78","31","110","141","22.70","55.32","21.99","78.01","450"
"2005-2006","15","Buckingham County","English:Reading","N","Grade 7","SOL","English Reading","25","94","51","119","170","14.71","55.29","30.00","70.00","433"
"2005-2006","15","Buckingham County","English:Reading","N","Grade 8","SOL","English Reading","30","90","45","120","165","18.18","54.55","27.27","72.73","436"
"2005-2006","103","Buena Vista City","English:Reading","N","Grade 3","SOL","English Reading","32","50","11","82","93","34.41","53.76","11.83","88.17","468"
"2005-2006","103","Buena Vista City","English:Reading","N","Grade 4","SOL","English Reading","35","42","10","77","87","40.23","48.28","11.49","88.51","474"
"2005-2006","103","Buena Vista City","English:Reading","N","Grade 5","SOL","English Reading","36","38","15","74","89","40.45","42.70","16.85","83.15","475"
"2005-2006","103","Buena Vista City","English:Reading","N","Grade 6","SOL","English Reading","34","44","6","78","84","40.48","52.38","7.14","92.86","482"
"2005-2006","103","Buena Vista City","English:Reading","N","Grade 7","SOL","English Reading","35","47","16","82","98","35.71","47.96","16.33","83.67","466"
"2005-2006","103","Buena Vista City","English:Reading","N","Grade 8","SOL","English Reading","27","45","16","72","88","30.68","51.14","18.18","81.82","457"
"2005-2006","103","Buena Vista City","English:Reading","Y","Grade 4","SOL","English Reading","<","<","<","<","<","<","<","<50",">50",""
"2005-2006","16","Campbell County","English:Reading","N","Grade 3","SOL","English Reading","205","273","103","478","581","35.28","46.99","17.73","82.27","464"
"2005-2006","16","Campbell County","English:Reading","N","Grade 4","SOL","English Reading","214","263","91","477","568","37.68","46.30","16.02","83.98","465"
"2005-2006","16","Campbell County","English:Reading","N","Grade 5","SOL","English Reading","260","283","88","543","631","41.20","44.85","13.95","86.05","476"
"2005-2006","16","Campbell County","English:Reading","N","Grade 6","SOL","English Reading","215","323","151","538","689","31.20","46.88","21.92","78.08","459"
"2005-2006","16","Campbell County","English:Reading","N","Grade 7","SOL","English Reading","222","296","139","518","657","33.79","45.05","21.16","78.84","462"
"2005-2006","16","Campbell County","English:Reading","N","Grade 8","SOL","English Reading","188","340","122","528","650","28.92","52.31","18.77","81.23","456"
"2005-2006","16","Campbell County","English:Reading","Y","Grade 3","SOL","English Reading","<","<","<","<","<","<","<","<50",">50",""
"2005-2006","16","Campbell County","English:Reading","Y","Grade 4","SOL","English Reading","<","<","<","<","<","<","<","<50",">50","490"
"2005-2006","16","Campbell County","English:Reading","Y","Grade 5","SOL","English Reading","<","<","<","<","<","<","<","<50",">50",""
"2005-2006","16","Campbell County","English:Reading","Y","Grade 6","SOL","English Reading","<","<","<","<","<","<","<","<50",">50",""
"2005-2006","16","Campbell County","English:Reading","Y","Grade 7","SOL","English Reading","<","<","<","<","<","<","<","<50",">50",""
"2005-2006","17","Caroline County","English:Reading","N","Grade 3","SOL","English Reading","81","139","62","220","282","28.72","49.29","21.99","78.01","455"
"2005-2006","17","Caroline County","English:Reading","N","Grade 4","SOL","English Reading","113","138","44","251","295","38.31","46.78","14.92","85.08","468"
"2005-2006","17","Caroline County","English:Reading","N","Grade 5","SOL","English Reading","118","132","24","250","274","43.07","48.18","8.76","91.24","482"
"2005-2006","17","Caroline County","English:Reading","N","Grade 6","SOL","English Reading","76","145","71","221","292","26.03","49.66","24.32","75.68","445"
"2005-2006","17","Caroline County","English:Reading","N","Grade 7","SOL","English Reading","52","134","91","186","277","18.77","48.38","32.85","67.15","437"
"2005-2006","17","Caroline County","English:Reading","N","Grade 8","SOL","English Reading","48","162","72","210","282","17.02","57.45","25.53","74.47","438"
"2005-2006","17","Caroline County","English:Reading","Y","Grade 3","SOL","English Reading","<","<","<","<","<","<","<","<50",">50",""
"2005-2006","17","Caroline County","English:Reading","Y","Grade 4","SOL","English Reading","<","<","<","<","<","<","<","<50",">50","440"
"2005-2006","17","Caroline County","English:Reading","Y","Grade 5","SOL","English Reading","<","<","<","<","<","<","<","<50",">50",""
"2005-2006","17","Caroline County","English:Reading","Y","Grade 6","SOL","English Reading","<","<","<","<","<","<","<",">50","<50",""
"2005-2006","17","Caroline County","English:Reading","Y","Grade 7","SOL","English Reading","<","<","<","<","<","<","<","<50",">50",""
"2005-2006","17","Caroline County","English:Reading","Y","Grade 8","SOL","English Reading","<","<","<","<","<","<","<",">50","<50","374"
"2005-2006","18","Carroll County","English:Reading","N","Grade 3","SOL","English Reading","107","141","41","248","289","37.02","48.79","14.19","85.81","468"
"2005-2006","18","Carroll County","English:Reading","N","Grade 4","SOL","English Reading","90","128","55","218","273","32.97","46.89","20.15","79.85","459"
"2005-2006","18","Carroll County","English:Reading","N","Grade 5","SOL","English Reading","122","123","49","245","294","41.50","41.84","16.67","83.33","473"
"2005-2006","18","Carroll County","English:Reading","N","Grade 6","SOL","English Reading","78","157","57","235","292","26.71","53.77","19.52","80.48","455"
"2005-2006","18","Carroll County","English:Reading","N","Grade 7","SOL","English Reading","83","148","60","231","291","28.52","50.86","20.62","79.38","452"
"2005-2006","18","Carroll County","English:Reading","N","Grade 8","SOL","English Reading","69","229","79","298","377","18.30","60.74","20.95","79.05","448"
"2005-2006","18","Carroll County","English:Reading","Y","Grade 3","SOL","English Reading","<","<","<","<","<","<","<","<50",">50","463"
"2005-2006","18","Carroll County","English:Reading","Y","Grade 4","SOL","English Reading","<","<","<","<","<","<","<","<50",">50","459"
"2005-2006","18","Carroll County","English:Reading","Y","Grade 5","SOL","English Reading","<","<","<","<","<","<","<","<50",">50",""
"2005-2006","18","Carroll County","English:Reading","Y","Grade 6","SOL","English Reading","<","<","<","<","<","<","<","<50",">50",""
"2005-2006","18","Carroll County","English:Reading","Y","Grade 7","SOL","English Reading","2","7","3","9","12","16.67","58.33","25.00","75.00","446"
"2005-2006","18","Carroll County","English:Reading","Y","Grade 8","SOL","English Reading","<","<","<","<","13","<","<",">50","<50","383"
"2005-2006","19","Charles City County","English:Reading","N","Grade 3","SOL","English Reading","18","24","19","42","61","29.51","39.34","31.15","68.85","440"
"2005-2006","19","Charles City County","English:Reading","N","Grade 4","SOL","English Reading","11","28","13","39","52","21.15","53.85","25.00","75.00","435"
"2005-2006","19","Charles City County","English:Reading","N","Grade 5","SOL","English Reading","20","25","12","45","57","35.09","43.86","21.05","78.95","460"
"2005-2006","19","Charles City County","English:Reading","N","Grade 6","SOL","English Reading","10","33","30","43","73","13.70","45.21","41.10","58.90","418"
"2005-2006","19","Charles City County","English:Reading","N","Grade 7","SOL","English Reading","13","40","22","53","75","17.33","53.33","29.33","70.67","427"
"2005-2006","19","Charles City County","English:Reading","N","Grade 8","SOL","English Reading","7","37","19","44","63","11.11","58.73","30.16","69.84","431"
"2005-2006","19","Charles City County","English:Reading","Y","Grade 3","SOL","English Reading","<","<","<","<","<","<","<",">50","<50",""
"2005-2006","19","Charles City County","English:Reading","Y","Grade 5","SOL","English Reading","<","<","<","<","<","<","<","<50",">50",""
"2005-2006","20","Charlotte County","English:Reading","N","Grade 3","SOL","English Reading","71","72","7","143","150","47.33","48.00","4.67","95.33","490"
"2005-2006","20","Charlotte County","English:Reading","N","Grade 4","SOL","English Reading","69","74","8","143","151","45.70","49.01","5.30","94.70","484"
"2005-2006","20","Charlotte County","English:Reading","N","Grade 5","SOL","English Reading","84","62","8","146","154","54.55","40.26","5.19","94.81","501"
"2005-2006","20","Charlotte County","English:Reading","N","Grade 6","SOL","English Reading","52","87","19","139","158","32.91","55.06","12.03","87.97","471"
"2005-2006","20","Charlotte County","English:Reading","N","Grade 7","SOL","English Reading","60","94","16","154","170","35.29","55.29","9.41","90.59","480"
"2005-2006","20","Charlotte County","English:Reading","N","Grade 8","SOL","English Reading","51","91","6","142","148","34.46","61.49","4.05","95.95","475"
"2005-2006","20","Charlotte County","English:Reading","Y","Grade 4","SOL","English Reading","<","<","<","<","<","<","<","<50",">50",""
"2005-2006","104","Charlottesville City","English:Reading","N","Grade 3","SOL","English Reading","115","93","62","208","270","42.59","34.44","22.96","77.04","469"
"2005-2006","104","Charlottesville City","English:Reading","N","Grade 4","SOL","English Reading","118","115","30","233","263","44.87","43.73","11.41","88.59","486"
"2005-2006","104","Charlottesville City","English:Reading","N","Grade 5","SOL","English Reading","73","114","53","187","240","30.42","47.50","22.08","77.92","467"
"2005-2006","104","Charlottesville City","English:Reading","N","Grade 6","SOL","English Reading","70","110","77","180","257","27.24","42.80","29.96","70.04","454"
"2005-2006","104","Charlottesville City","English:Reading","N","Grade 7","SOL","English Reading","54","99","142","153","295","18.31","33.56","48.14","51.86","417"
"2005-2006","104","Charlottesville City","English:Reading","N","Grade 8","SOL","English Reading","63","112","117","175","292","21.58","38.36","40.07","59.93","425"
"2005-2006","104","Charlottesville City","English:Reading","Y","Grade 3","SOL","English Reading","4","6","1","10","11","36.36","54.55","9.09","90.91","469"
"2005-2006","104","Charlottesville City","English:Reading","Y","Grade 4","SOL","English Reading","10","5","0","15","15","66.67","33.33",".00","100.00","503"
"2005-2006","104","Charlottesville City","English:Reading","Y","Grade 5","SOL","English Reading","<","<","<","<","<","<","<","<50",">50","446"
"2005-2006","104","Charlottesville City","English:Reading","Y","Grade 6","SOL","English Reading","1","10","2","11","13","7.69","76.92","15.38","84.62","438"
"2005-2006","104","Charlottesville City","English:Reading","Y","Grade 7","SOL","English Reading","<","<","<","<","<","<","<",">50","<50","356"
"2005-2006","104","Charlottesville City","English:Reading","Y","Grade 8","SOL","English Reading","<","<","<","<","<","<","<",">50","<50","396"
"2005-2006","136","Chesapeake City","English:Reading","N","Grade 3","SOL","English Reading","1,051","1,167","367","2,218","2,585","40.66","45.15","14.20","85.80","474"
"2005-2006","136","Chesapeake City","English:Reading","N","Grade 4","SOL","English Reading","1,331","1,152","227","2,483","2,710","49.11","42.51","8.38","91.62","493"
"2005-2006","136","Chesapeake City","English:Reading","N","Grade 5","SOL","English Reading","940","1,505","367","2,445","2,812","33.43","53.52","13.05","86.95","479"
"2005-2006","136","Chesapeake City","English:Reading","N","Grade 6","SOL","English Reading","962","1,584","442","2,546","2,988","32.20","53.01","14.79","85.21","473"
"2005-2006","136","Chesapeake City","English:Reading","N","Grade 7","SOL","English Reading","1,241","1,484","503","2,725","3,228","38.44","45.97","15.58","84.42","476"
"2005-2006","136","Chesapeake City","English:Reading","N","Grade 8","SOL","English Reading","751","1,753","713","2,504","3,217","23.34","54.49","22.16","77.84","452"
"2005-2006","136","Chesapeake City","English:Reading","Y","Grade 3","SOL","English Reading","9","33","7","42","49","18.37","67.35","14.29","85.71","453"
"2005-2006","136","Chesapeake City","English:Reading","Y","Grade 4","SOL","English Reading","21","28","0","49","49","42.86","57.14",".00","100.00","493"
"2005-2006","136","Chesapeake City","English:Reading","Y","Grade 5","SOL","English Reading","10","29","6","39","45","22.22","64.44","13.33","86.67","460"
"2005-2006","136","Chesapeake City","English:Reading","Y","Grade 6","SOL","English Reading","5","22","2","27","29","17.24","75.86","6.90","93.10","466"
"2005-2006","136","Chesapeake City","English:Reading","Y","Grade 7","SOL","English Reading","4","14","8","18","26","15.38","53.85","30.77","69.23","432"
"2005-2006","136","Chesapeake City","English:Reading","Y","Grade 8","SOL","English Reading","0","14","10","14","24",".00","58.33","41.67","58.33","413"
"2005-2006","21","Chesterfield County","English:Reading","N","Grade 3","SOL","English Reading","1,669","1,698","443","3,367","3,810","43.81","44.57","11.63","88.37","481"
"2005-2006","21","Chesterfield County","English:Reading","N","Grade 4","SOL","English Reading","1,956","1,699","335","3,655","3,990","49.02","42.58","8.40","91.60","491"
"2005-2006","21","Chesterfield County","English:Reading","N","Grade 5","SOL","English Reading","2,190","1,575","226","3,765","3,991","54.87","39.46","5.66","94.34","499"
"2005-2006","21","Chesterfield County","English:Reading","N","Grade 6","SOL","English Reading","1,829","1,858","553","3,687","4,240","43.14","43.82","13.04","86.96","479"
"2005-2006","21","Chesterfield County","English:Reading","N","Grade 7","SOL","English Reading","1,824","1,873","618","3,697","4,315","42.27","43.41","14.32","85.68","477"
"2005-2006","21","Chesterfield County","English:Reading","N","Grade 8","SOL","English Reading","1,017","2,590","766","3,607","4,373","23.26","59.23","17.52","82.48","459"
"2005-2006","21","Chesterfield County","English:Reading","Y","Grade 3","SOL","English Reading","22","51","14","73","87","25.29","58.62","16.09","83.91","455"
"2005-2006","21","Chesterfield County","English:Reading","Y","Grade 4","SOL","English Reading","25","65","11","90","101","24.75","64.36","10.89","89.11","457"
"2005-2006","21","Chesterfield County","English:Reading","Y","Grade 5","SOL","English Reading","48","57","5","105","110","43.64","51.82","4.55","95.45","484"
