"School Year","Division Number","Division Name","Subject","English Learner","Test Level","Test Source","Test","Pass Advanced Count","Pass Proficient Count","Fail Count","Pass Count","Total Count","Pass Advanced Rate","Pass Proficient Rate","Fail Rate","Pass Rate","Average SOL Scaled Score"
"2013-2014","26","Dickenson County","English:Reading","N","Grade 3","SOL","English Reading","16","89","44","105","149","10.74","59.73","29.53","70.47","424"
"2013-2014","26","Dickenson County","English:Reading","N","Grade 4","SOL","English Reading","10","83","85","93","178","5.62","46.63","47.75","52.25","407"
"2013-2014","26","Dickenson County","English:Reading","N","Grade 5","SOL","English Reading","15","92","44","107","151","9.93","60.93","29.14","70.86","428"
"2013-2014","26","Dickenson County","English:Reading","N","Grade 6","SOL","English Reading","22","93","45","115","160","13.75","58.13","28.13","71.88","434"
"2013-2014","26","Dickenson County","English:Reading","N","Grade 7","SOL","English Reading","17","103","28","120","148","11.49","69.59","18.92","81.08","444"
"2013-2014","26","Dickenson County","English:Reading","N","Grade 8","SOL","English Reading","9","113","52","122","174","5.17","64.94","29.89","70.11","423"
"2013-2014","27","Dinwiddie County","English:Reading","N","Grade 3","SOL","English Reading","29","184","78","213","291","9.97","63.23","26.80","73.20","433"
"2013-2014","27","Dinwiddie County","English:Reading","N","Grade 4","SOL","English Reading","39","173","124","212","336","11.61","51.49","36.90","63.10","422"
"2013-2014","27","Dinwiddie County","English:Reading","N","Grade 5","SOL","English Reading","60","178","80","238","318","18.87","55.97","25.16","74.84","445"
"2013-2014","27","Dinwiddie County","English:Reading","N","Grade 6","SOL","English Reading","21","185","128","206","334","6.29","55.39","38.32","61.68","417"
"2013-2014","27","Dinwiddie County","English:Reading","N","Grade 7","SOL","English Reading","20","176","120","196","316","6.33","55.70","37.97","62.03","410"
"2013-2014","27","Dinwiddie County","English:Reading","N","Grade 8","SOL","English Reading","18","185","116","203","319","5.64","57.99","36.36","63.64","419"
"2013-2014","27","Dinwiddie County","English:Reading","Y","Grade 3","SOL","English Reading","<","<","<","<","<","<","<","<50",">50",""
"2013-2014","27","Dinwiddie County","English:Reading","Y","Grade 4","SOL","English Reading","<","<","<","<","<","<","<","<50",">50",""
"2013-2014","28","Essex County","English:Reading","N","Grade 3","SOL","English Reading","13","60","40","73","113","11.50","53.10","35.40","64.60","427"
"2013-2014","28","Essex County","English:Reading","N","Grade 4","SOL","English Reading","12","64","35","76","111","10.81","57.66","31.53","68.47","427"
"2013-2014","28","Essex County","English:Reading","N","Grade 5","SOL","English Reading","20","44","51","64","115","17.39","38.26","44.35","55.65","409"
"2013-2014","28","Essex County","English:Reading","N","Grade 6","SOL","English Reading","12","61","28","73","101","11.88","60.40","27.72","72.28","428"
"2013-2014","28","Essex County","English:Reading","N","Grade 7","SOL","English Reading","5","56","38","61","99","5.05","56.57","38.38","61.62","410"
"2013-2014","28","Essex County","English:Reading","N","Grade 8","SOL","English Reading","3","59","59","62","121","2.48","48.76","48.76","51.24","399"
"2013-2014","28","Essex County","English:Reading","Y","Grade 3","SOL","English Reading","<","<","<","<","<","<","<","<50",">50",""
"2013-2014","28","Essex County","English:Reading","Y","Grade 5","SOL","English Reading","<","<","<","<","<","<","<",">50","<50","365"
"2013-2014","28","Essex County","English:Reading","Y","Grade 6","SOL","English Reading","<","<","<","<","<","<","<",">50","<50",""
"2013-2014","28","Essex County","English:Reading","Y","Grade 7","SOL","English Reading","<","<","<","<","<","<","<",">50","<50",""
"2013-2014","28","Essex County","English:Reading","Y","Grade 8","SOL","English Reading","<","<","<","<","<","<","<","<50",">50",""
"2013-2014","29","Fairfax County","English:Reading","N","Grade 3","SOL","English Reading","2,095","4,609","1,517","6,704","8,221","25.48","56.06","18.45","81.55","460"
"2013-2014","29","Fairfax County","English:Reading","N","Grade 4","SOL","English Reading","2,498","4,978","1,290","7,476","8,766","28.50","56.79","14.72","85.28","467"
"2013-2014","29","Fairfax County","English:Reading","N","Grade 5","SOL","English Reading","4,013","4,537","1,147","8,550","9,697","41.38","46.79","11.83","88.17","480"
"2013-2014","29","Fairfax County","English:Reading","N","Grade 6","SOL","English Reading","3,013","6,286","1,022","9,299","10,321","29.19","60.90","9.90","90.10","475"
"2013-2014","29","Fairfax County","English:Reading","N","Grade 7","SOL","English Reading","3,108","6,817","995","9,925","10,920","28.46","62.43","9.11","90.89","469"
"2013-2014","29","Fairfax County","English:Reading","N","Grade 8","SOL","English Reading","2,277","7,236","1,514","9,513","11,027","20.65","65.62","13.73","86.27","458"
"2013-2014","29","Fairfax County","English:Reading","Y","Grade 3","SOL","English Reading","360","2,071","1,860","2,431","4,291","8.39","48.26","43.35","56.65","415"
"2013-2014","29","Fairfax County","English:Reading","Y","Grade 4","SOL","English Reading","312","2,004","1,926","2,316","4,242","7.36","47.24","45.40","54.60","409"
"2013-2014","29","Fairfax County","English:Reading","Y","Grade 5","SOL","English Reading","246","1,440","1,491","1,686","3,177","7.74","45.33","46.93","53.07","404"
"2013-2014","29","Fairfax County","English:Reading","Y","Grade 6","SOL","English Reading","55","1,106","1,202","1,161","2,363","2.33","46.80","50.87","49.13","398"
"2013-2014","29","Fairfax County","English:Reading","Y","Grade 7","SOL","English Reading","42","813","868","855","1,723","2.44","47.19","50.38","49.62","399"
"2013-2014","29","Fairfax County","English:Reading","Y","Grade 8","SOL","English Reading","21","644","916","665","1,581","1.33","40.73","57.94","42.06","391"
"2013-2014","109","Falls Church City","English:Reading","N","Grade 3","SOL","English Reading","62","82","8","144","152","40.79","53.95","5.26","94.74","490"
