"School Year","Division Number","Division Name","Subject","Test Level","Test Source","Test","Pass Advanced Count","Pass Proficient Count","Fail Count","Pass Count","Total Count","Pass Advanced Rate","Pass Proficient Rate","Fail Rate","Pass Rate","Average SOL Scaled Score"
"2005-2006","1","Accomack County","English:Reading","Grade 3","SOL","English Reading","86","151","54","237","291","29.55","51.89","18.56","81.44","459"
"2005-2006","1","Accomack County","English:Reading","Grade 4","SOL","English Reading","110","164","54","274","328","33.54","50.00","16.46","83.54","464"
"2005-2006","1","Accomack County","English:Reading","Grade 5","SOL","English Reading","113","161","39","274","313","36.10","51.44","12.46","87.54","472"
"2005-2006","1","Accomack County","English:Reading","Grade 6","SOL","English Reading","100","167","44","267","311","32.15","53.70","14.15","85.85","467"
"2005-2006","1","Accomack County","English:Reading","Grade 7","SOL","English Reading","119","199","54","318","372","31.99","53.49","14.52","85.48","462"
"2005-2006","1","Accomack County","English:Reading","Grade 8","SOL","English Reading","64","200","105","264","369","17.34","54.20","28.46","71.54","433"
"2005-2006","2","Albemarle County","English:Reading","Grade 3","SOL","English Reading","389","343","101","732","833","46.70","41.18","12.12","87.88","483"
"2005-2006","2","Albemarle County","English:Reading","Grade 4","SOL","English Reading","443","345","60","788","848","52.24","40.68","7.08","92.92","494"
"2005-2006","2","Albemarle County","English:Reading","Grade 5","SOL","English Reading","501","317","58","818","876","57.19","36.19","6.62","93.38","502"
"2005-2006","2","Albemarle County","English:Reading","Grade 6","SOL","English Reading","490","338","99","828","927","52.86","36.46","10.68","89.32","496"
"2005-2006","2","Albemarle County","English:Reading","Grade 7","SOL","English Reading","476","350","102","826","928","51.29","37.72","10.99","89.01","491"
"2005-2006","2","Albemarle County","English:Reading","Grade 8","SOL","English Reading","387","385","126","772","898","43.10","42.87","14.03","85.97","477"
"2005-2006","101","Alexandria City","English:Reading","Grade 3","SOL","English Reading","269","305","135","574","709","37.94","43.02","19.04","80.96","465"
"2005-2006","101","Alexandria City","English:Reading","Grade 4","SOL","English Reading","249","353","123","602","725","34.34","48.69","16.97","83.03","463"
